category,spicy,garlic,nuts,dishId,name,nameCH,price,description
Sushi,FALSE,FALSE,FALSE,H06,Sushi Burrito,墨西哥壽司卷,8.95,
Sushi,TRUE,FALSE,FALSE,H07,Volcano roll,火山卷,8.95,
Sushi,FALSE,FALSE,FALSE,H03,California Fried Roll,加州炸捲,6.95,
Sushi,FALSE,FALSE,FALSE,H10,Special “salmon” roll,三文魚青瓜卷,10.95,"Salmon, cucumber spicy mayo"
Sushi,FALSE,FALSE,FALSE,H01,Futomaki roll,素太捲,5.95,
Sushi,TRUE,FALSE,FALSE,H09,Green river roll,蟹肉牛油果卷,10.95,"Baked crab meat, cucumber, avocado"
Sushi,FALSE,FALSE,FALSE,H11,Spider roll,天羅地網捲,9.95,"Fried enoki mushroom, cucumber, carrots topped with eel sauce"
Sushi,FALSE,FALSE,FALSE,H13,Veggie Temaki,野菜手卷,"3.95 for 1, 7 for 2",
Sushi,FALSE,FALSE,FALSE,H16,Rainbow Roll,彩虹卷,10.95,
Sushi,FALSE,FALSE,FALSE,H17,Sushi platter,壽司拼盤,45,"Chef's choice of 3 sushi rolls, seaweed salad, and assorted nigiri"
Sushi,FALSE,FALSE,FALSE,H18,Sushi Deluxe,什錦壽司,19.95,
Sushi,TRUE,FALSE,FALSE,H14,Spicy Tuna Temaki,香辣鮪魚手卷,3.95,
Sushi,TRUE,FALSE,FALSE,H15,Spicy Crab Temaki,香辣蟹肉手卷,3.95,
Sushi,FALSE,FALSE,FALSE,H21,Mango Roll,芒果卷,9.95,
Sushi,FALSE,FALSE,FALSE,H25,Summer Love Roll,夏之戀卷,11.95,
Sushi,TRUE,FALSE,FALSE,H26,Wild Buffalo Roll,,10.95,
Sushi,FALSE,FALSE,FALSE,H28,Beyond Sushi Roll,,10.95,
Sushi,FALSE,FALSE,FALSE,H29,Tempura Shrimp Roll,,11.95,
Sushi,FALSE,FALSE,FALSE,H30,Philadelphia Roll,,8.95,"Smoked salmon, vegan cream cheese, avacado, vegan eel sauce"
Sushi,FALSE,FALSE,FALSE,H31,Fried Avocado Roll (6),,7.95,
Drink,FALSE,FALSE,FALSE,D06,Thai tea,泰式奶茶,3.95,
Drink,FALSE,FALSE,FALSE,D10,Ginger tea (hot/cold),薑茶,2.95,
Drink,FALSE,FALSE,FALSE,D01,Canned soda,汽水,1.25,
Drink,FALSE,FALSE,FALSE,D11,Morning sunrise (cold),旭日東昇,3.95,"Pineapple juice , club soda, splash of mango"
Drink,FALSE,FALSE,FALSE,D12,Afternoon refresher (cold),聚精會神,3.95,"Lemonade, sprite, splash of strawberry"
Drink,FALSE,FALSE,FALSE,D02,Sweet tea,凍甜茶,2.5,
Drink,FALSE,FALSE,FALSE,D14,Matcha Latte,綠茶拿鐵,3.95,
Drink,FALSE,FALSE,FALSE,D13,Evening tea (cold),傍晚茶,3.95,"Sweet tea, club soda, splash of raspberry and pomegranate"
Drink,FALSE,FALSE,FALSE,D15,Chrysanthemum Tea (hot),菊花茶,3.95,
Drink,FALSE,FALSE,FALSE,D16,Green Tea,綠茶,2.95,
Cakes,FALSE,FALSE,FALSE,C01,By the slice/cup,一塊/杯,4.95,
Cakes,FALSE,FALSE,FALSE,C03,,,,
Rice_&_Noodles,TRUE,FALSE,FALSE,R18,Singapore rice noodle,星洲炒米粉,10.95,Curry fried “pork” “shrimp” vermicelli
